,,,,,,,,,,,,,,,,
,"AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"PG0",-0,-0,-0,-0,-0,-0,-0,-0,-0,"CAN1_RX",-0,"UART9_
RX","FSMC_A10",-0,-0,"EVENT
OUT"
,-0,-0,-0,-0,-0,-0,-0,-0,-0,"CAN1_TX",-0,"UART9_
TX","FSMC_A11",-0,-0,"EVENT
OUT"
"PG2",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A12",-0,-0,"EVENT
OUT"
"PG3",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A13",-0,-0,"EVENT
OUT"
"PG4",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A14",-0,-0,"EVENT
OUT"
"PG5",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A15",-0,-0,"EVENT
OUT"
"PG6",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"QUADSPI_B
K1_NCS",-0,-0,-0,-0,"EVENT
OUT"
"PG7",-0,-0,-0,-0,-0,-0,-0,-0,"USART6_
CK",-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PG8",-0,-0,-0,-0,-0,-0,-0,-0,"USART6_
RTS",-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PG9",-0,-0,-0,-0,-0,-0,-0,-0,"USART6_
RX","QUADSPI_
BK2_IO2",-0,-0,"FSMC_NE2",-0,-0,"EVENT
OUT"
"PG10",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_NE3",-0,-0,"EVENT
OUT"
"PG11",-0,-0,-0,-0,-0,-0,-0,-0,-0,"CAN2_RX",-0,"UART10
_RX",-0,-0,-0,"EVENT
OUT"
"PG12",-0,-0,-0,-0,-0,-0,-0,-0,"USART6_
RTS","CAN2_TX",-0,"UART10
_TX","FSMC_NE4",-0,-0,"EVENT
OUT"
"PG13","TRACE
D2",-0,-0,-0,-0,-0,-0,-0,"USART6_
CTS",-0,-0,-0,"FSMC_A24",-0,-0,"EVENT
OUT"
"PG14","TRACE
D3",-0,-0,-0,-0,-0,-0,-0,"USART6_
TX","QUADSPI_
BK2_IO3",-0,-0,"FSMC_A25",-0,-0,"EVENT
OUT"
"PG15",-0,-0,-0,-0,-0,-0,-0,-0,"USART6_
CTS",-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PH0",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PH1",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
